sound	fr	fr_ipa	en	en_ipa	cognate
1.0	boutique	butik	boutique	buːtˈiːk	1
1.0	chef	ʃɛf	chef	ʃˈɛf	1
1.0	clique	klik	clique	klˈiːk	1
1.0	dette	dɛt	debt	dˈɛt	0
1.0	estime	ɛstim	esteem	ɛstˈiːm	0
1.0	niche	niʃ	niche	nˈiːʃ	1
1.0	ouest	wɛst	west	wˈɛst	0
1.0	secte	sɛkt	sect	sˈɛkt	1
1.0	sexe	sɛks	sex	sˈɛks	1
1.0	ski	ski	ski	skˈiː	1
1.0	soupe	sup	soup	sˈuːp	1
1.0	technique	tɛknik	technique	tɛknˈiːk	1
1.0	yen	jɛn	yen	jˈɛn	1
0.9333	batiste	batist	batiste	bætˈiːst	1
0.9333	bikini	bikini	bikini	bɪkˈiːni	1
0.9333	disquette	diskɛt	diskette	dɪskˈɛt	1
0.9333	septique	sɛptik	septic	sˈɛptɪk	0
0.9214	prestige	pʁɛstiʒ	prestige	pɹɛstˈiːʒ	1
0.92	cassette	kasɛt	cassette	kɐsˈɛt	1
0.92	delta	dɛlta	delta	dˈɛltɐ	1
0.92	machine	maʃin	machine	məʃˈiːn	1
0.92	oblique	ɔblik	oblique	əblˈiːk	1
0.92	police	pɔlis	police	pəlˈiːs	1
0.92	taxi	taksi	taxi	tˈæksi	1
0.92	texte	tekst	text	tˈɛkst	1
0.92	whisky	wiski	whisky	wˈɪski	1
0.92	whisky	wiski	whiskey	wˈɪski	1
0.9	abbesse	abɛs	abbess	ˈæbɛs	1
0.9	basque	bask	basque	bˈæsk	1
0.9	bloc	blɔk	block	blˈɒk	1
0.9	bulbe	bylb	bulb	bˈʌlb	1
0.9	classe	klas	class	klˈɑːs	1
0.9	club	klœb	club	klˈʌb	1
0.9	coucou	kuku	cuckoo	kˈʊkuː	0
0.9	culte	kylt	cult	kˈʌlt	1
0.9	disque	disk	disc	dˈɪsk	0
0.9	film	film	film	fˈɪlm	1
0.9	flotte	flɔt	fleet	flˈiːt	0
0.9	flûte	flyt	flute	flˈuːt	1
0.9	liste	list	list	lˈɪst	1
0.9	masque	mask	mask	mˈɑːsk	0
0.9	pulpe	pylp	pulp	pˈʌlp	1
0.9	stock	stɔk	stock	stˈɒk	1
0.9	tact	takt	tact	tˈækt	1
0.9	taxe	taks	tax	tˈæks	1
0.9	vaste	vast	vast	vˈɑːst	1
0.9	visa	viza	visa	vˈiːzɐ	1
0.8857	amnistie	amnisti	amnesty	ˈæmnəsti	0
0.8857	destinée	dɛstine	destiny	dˈɛstɪni	1
0.8857	modestie	mɔdɛsti	modesty	mˈɒdəsti	1
0.8857	plastique	plastik	plastic	plˈɑːstɪk	0
0.8812	prétexte	pʁetɛkst	pretext	pɹˈiːtɛkst	1
0.8667	acte	akt	act	ˈækt	1
0.8667	asphalte	asfalt	asphalt	ˈæsfɒlt	1
0.8667	autopsie	otɔpsi	autopsy	ˈɔːtɒpsˌi	1
0.8667	bal	bal	ball	bˈɔːl	1
0.8667	ballast	balast	ballast	bˈæləst	1
0.8667	balle	bal	ball	bˈɔːl	1
0.8667	basket-ball	baskɛtbol	basketball	bˈɑːskɪtbˌɔːl	1
0.8667	baume	bom	balm	bˈɑːm	0
0.8667	bazooka	bazuka	bazooka	bɐzˈuːkɐ	1
0.8667	bec	bɛk	beak	bˈiːk	0
0.8667	bleu	blø	blue	blˈuː	0
0.8667	botte	bɔt	boot	bˈuːt	0
0.8667	bœuf	bœf	beef	bˈiːf	0
0.8667	cactus	kaktys	cactus	kˈæktəs	1
0.8667	cause	koz	cause	kˈɔːz	1
0.8667	choc	ʃɔk	shock	ʃˈɒk	0
0.8667	châle	ʃal	shawl	ʃˈɔːl	0
0.8667	classique	klasik	classic	klˈæsɪk	0
0.8667	colonie	kɔlɔni	colony	kˈɒləni	0
0.8667	coq	kɔk	cock	kˈɒk	0
0.8667	côtelette	kotlɛt	cutlet	kˈʌtlət	0
0.8667	football	futbol	football	fˈʊtbɔːl	1
0.8667	luth	lyt	lute	lˈuːt	0
0.8667	masse	mas	mass	mˈæs	1
0.8667	modeste	mɔdɛst	modest	mˈɒdəst	1
0.8667	mousse	mus	moss	mˈɒs	1
0.8667	moustache	mustaʃ	moustache	məstˈɑːʃ	1
0.8667	mélodie	melɔdi	melody	mˈɛlədi	0
0.8667	paume	pom	palm	pˈɑːm	0
0.8667	pause	poz	pause	pˈɔːz	1
0.8667	phénix	feniks	phoenix	fˈiːnɪks	1
0.8667	planète	planɛt	planet	plˈænɪt	1
0.8667	public	pyblik	public	pˈʌblɪk	1
0.8667	sac	sak	sack	sˈæk	1
0.8667	salami	salami	salami	sɐlˈɑːmi	1
0.8667	sauce	sos	sauce	sˈɔːs	1
0.8667	scène	sɛn	scene	sˈiːn	1
0.8667	suffixe	syfiks	suffix	sˈʌfɪks	1
0.8667	système	sistɛm	system	sˈɪstəm	1
0.8667	tactique	taktik	tactic	tˈæktɪk	0
0.8667	tique	tik	tick	tˈɪk	0
0.8667	tonne	tɔn	tonne	tˈʌn	1
0.8667	vase	vaz	vase	vˈɑːz	1
0.8667	victime	viktim	victim	vˈɪktɪm	1
0.8667	watt	wat	watt	wˈɒt	1
0.8667	yacht	jot	yacht	jˈɒt	1
0.8667	zèle	zɛl	zeal	zˈiːl	0
0.865	prospectus	pʁɔspɛktys	prospectus	pɹəspˈɛktəs	1
0.8625	brise	bʁiz	breeze	bɹˈiːz	0
0.8625	presse	pʁɛs	press	pɹˈɛs	1
0.8625	reste	ʁɛst	rest	ɹˈɛst	1
0.8625	troupe	tʁup	troop	tɹˈuːp	0
