fr	en_glosses
note	note,grade,mark,bill,memo
notes	notes,grades,marks,bills
tante	aunt
tantes	aunts
tente	tent,attempt
tentes	tents
tente	tempts,tries
tinte	rings,chimes,tinkles
tintent	ring,chime,tinkle
teinte	tint,shade,hue,tinge
teintes	tints,shades,hues
tonte	shearing,mowing
tontes	shearings
tète	suckles,sucks
net	clear,clean,net,sharp
nets	clear,clean,nets
toque	cap,hat,toque
toques	caps,hats
tombe	tomb,grave,falls
tombes	tombs,graves
tienne	yours
mer	sea
mère	mother
maire	mayor
mer	sea,ocean
pain	bread
pin	pine
fin	end,fine,thin
faim	hunger
vin	wine
vingt	twenty
vain	vain,futile
sang	blood
cent	hundred
sans	without
sent	smells,feels
temps	time,weather
tant	so much,so many
taon	horsefly
vers	towards,verse,worm
ver	worm
verre	glass
vert	green
père	father
pair	peer,even
paire	pair
mai	may
mais	but,corn
mets	dish,put
met	puts
eau	water
haut	high,top
au	to the,at the
seau	bucket,pail
sot	fool,silly
saut	jump,leap
sceau	seal,stamp
foi	faith
foie	liver
fois	time,times
quand	when
quant	as for
camp	camp
ces	these,those
ses	his,her,its
sais	know
sait	knows
c'est	it is
cou	neck
coup	blow,strike,hit
coût	cost
loup	wolf
cour	courtyard,court
cours	course,class
court	short,runs
roux	red,ginger
roue	wheel
houx	holly
ou	or
où	where
nom	name
non	no
ton	your,tone
thon	tuna
mon	my
son	his,her,sound,bran
sont	are
long	long
rond	round
pont	bridge
fond	bottom,depth
font	make,do
sel	salt
selle	saddle
celle	the one
ciel	sky,heaven
miel	honey
ange	angel
chant	song,singing
champ	field
gens	people
jean	jeans
an	year
ans	years
en	in,some
banc	bench
blanc	white
sang	blood
dent	tooth
dans	in,inside
lait	milk
laid	ugly
les	the
laie	wild sow
prix	price,prize
pris	taken
prie	pray,prays
nuit	night
nuent	cloud over
lune	moon
brun	brown
un	one,a
