src	tgt	src_lang	tgt_lang	tag	source_file
's	ès	en	fr	homophone	en_fr_homophones.csv
's	s	en	fr	homophone	en_fr_homophones.csv
es	ès	en	fr	homophone	en_fr_homophones.csv
es	s	en	fr	homophone	en_fr_homophones.csv
ess	ès	en	fr	homophone	en_fr_homophones.csv
ess	s	en	fr	homophone	en_fr_homophones.csv
esse	ès	en	fr	homophone	en_fr_homophones.csv
esse	s	en	fr	homophone	en_fr_homophones.csv
aase	anse	en	fr	homophone	en_fr_homophones.csv
aase	anses	en	fr	homophone	en_fr_homophones.csv
os	anse	en	fr	homophone	en_fr_homophones.csv
os	anses	en	fr	homophone	en_fr_homophones.csv
ah	an	en	fr	homophone	en_fr_homophones.csv
ah	ans	en	fr	homophone	en_fr_homophones.csv
ah	en	en	fr	homophone	en_fr_homophones.csv
ahh	an	en	fr	homophone	en_fr_homophones.csv
ahh	ans	en	fr	homophone	en_fr_homophones.csv
ahh	en	en	fr	homophone	en_fr_homophones.csv
awe	an	en	fr	homophone	en_fr_homophones.csv
awe	ans	en	fr	homophone	en_fr_homophones.csv
awe	en	en	fr	homophone	en_fr_homophones.csv
almy	omis	en	fr	homophone	en_fr_homophones.csv
almy	omit	en	fr	homophone	en_fr_homophones.csv
amen	emmène	en	fr	homophone	en_fr_homophones.csv
amen	emmènent	en	fr	homophone	en_fr_homophones.csv
amen	emmènes	en	fr	homophone	en_fr_homophones.csv
aud	ode	en	fr	homophone	en_fr_homophones.csv
aud	odes	en	fr	homophone	en_fr_homophones.csv
aud	onde	en	fr	homophone	en_fr_homophones.csv
aud	ondes	en	fr	homophone	en_fr_homophones.csv
awed	ode	en	fr	homophone	en_fr_homophones.csv
awed	odes	en	fr	homophone	en_fr_homophones.csv
awed	onde	en	fr	homophone	en_fr_homophones.csv
awed	ondes	en	fr	homophone	en_fr_homophones.csv
avi	envi	en	fr	homophone	en_fr_homophones.csv
avi	envie	en	fr	homophone	en_fr_homophones.csv
avi	envient	en	fr	homophone	en_fr_homophones.csv
avi	envies	en	fr	homophone	en_fr_homophones.csv
aw	on	en	fr	homophone	en_fr_homophones.csv
aw	ont	en	fr	homophone	en_fr_homophones.csv
b	bis	en	fr	homophone	en_fr_homophones.csv
be	bis	en	fr	homophone	en_fr_homophones.csv
bea	bis	en	fr	homophone	en_fr_homophones.csv
bee	bis	en	fr	homophone	en_fr_homophones.csv
b.'s	bise	en	fr	homophone	en_fr_homophones.csv
b.'s	bises	en	fr	homophone	en_fr_homophones.csv
be's	bise	en	fr	homophone	en_fr_homophones.csv
be's	bises	en	fr	homophone	en_fr_homophones.csv
beas	bise	en	fr	homophone	en_fr_homophones.csv
beas	bises	en	fr	homophone	en_fr_homophones.csv
bee's	bise	en	fr	homophone	en_fr_homophones.csv
bee's	bises	en	fr	homophone	en_fr_homophones.csv
bees	bise	en	fr	homophone	en_fr_homophones.csv
bees	bises	en	fr	homophone	en_fr_homophones.csv
beese	bise	en	fr	homophone	en_fr_homophones.csv
beese	bises	en	fr	homophone	en_fr_homophones.csv
bes	bise	en	fr	homophone	en_fr_homophones.csv
bes	bises	en	fr	homophone	en_fr_homophones.csv
ba	ban	en	fr	homophone	en_fr_homophones.csv
ba	banc	en	fr	homophone	en_fr_homophones.csv
ba	bancs	en	fr	homophone	en_fr_homophones.csv
ba	bans	en	fr	homophone	en_fr_homophones.csv
bah	ban	en	fr	homophone	en_fr_homophones.csv
bah	banc	en	fr	homophone	en_fr_homophones.csv
bah	bancs	en	fr	homophone	en_fr_homophones.csv
bah	bans	en	fr	homophone	en_fr_homophones.csv
baack	banque	en	fr	homophone	en_fr_homophones.csv
baack	banquent	en	fr	homophone	en_fr_homophones.csv
baack	banques	en	fr	homophone	en_fr_homophones.csv
bach	banque	en	fr	homophone	en_fr_homophones.csv
bach	banquent	en	fr	homophone	en_fr_homophones.csv
bach	banques	en	fr	homophone	en_fr_homophones.csv
boch	banque	en	fr	homophone	en_fr_homophones.csv
boch	banquent	en	fr	homophone	en_fr_homophones.csv
boch	banques	en	fr	homophone	en_fr_homophones.csv
bock	banque	en	fr	homophone	en_fr_homophones.csv
bock	banquent	en	fr	homophone	en_fr_homophones.csv
bock	banques	en	fr	homophone	en_fr_homophones.csv
bohlke	banque	en	fr	homophone	en_fr_homophones.csv
bohlke	banquent	en	fr	homophone	en_fr_homophones.csv
bohlke	banques	en	fr	homophone	en_fr_homophones.csv
bok	banque	en	fr	homophone	en_fr_homophones.csv
bok	banquent	en	fr	homophone	en_fr_homophones.csv
bok	banques	en	fr	homophone	en_fr_homophones.csv
baade	bande	en	fr	homophone	en_fr_homophones.csv
baade	bandent	en	fr	homophone	en_fr_homophones.csv
baade	bandes	en	fr	homophone	en_fr_homophones.csv
babu	bambou	en	fr	homophone	en_fr_homophones.csv
babu	bambous	en	fr	homophone	en_fr_homophones.csv
baek	bec	en	fr	homophone	en_fr_homophones.csv
baek	becs	en	fr	homophone	en_fr_homophones.csv
bec	bec	en	fr	homophone	en_fr_homophones.csv
bec	becs	en	fr	homophone	en_fr_homophones.csv
beck	bec	en	fr	homophone	en_fr_homophones.csv
beck	becs	en	fr	homophone	en_fr_homophones.csv
balks	box	en	fr	homophone	en_fr_homophones.csv
balks	boxe	en	fr	homophone	en_fr_homophones.csv
balks	boxent	en	fr	homophone	en_fr_homophones.csv
balks	boxes	en	fr	homophone	en_fr_homophones.csv
baud	bonde	en	fr	homophone	en_fr_homophones.csv
baud	bondes	en	fr	homophone	en_fr_homophones.csv
bawd	bonde	en	fr	homophone	en_fr_homophones.csv
bawd	bondes	en	fr	homophone	en_fr_homophones.csv
baugh	bon	en	fr	homophone	en_fr_homophones.csv
baugh	bond	en	fr	homophone	en_fr_homophones.csv
baugh	bonds	en	fr	homophone	en_fr_homophones.csv
baugh	bons	en	fr	homophone	en_fr_homophones.csv
baughn	bonn	en	fr	homophone	en_fr_homophones.csv
baughn	bonne	en	fr	homophone	en_fr_homophones.csv
baughn	bonnes	en	fr	homophone	en_fr_homophones.csv
